kenteken_land,voertuig_soort,merk,inrichting,datum_eerste_toelating,datum_tenaamstelling,toegestane_maximum_massa_voertuig,europese_voertuigcategorie,europese_voertuigcategorie_toevoeging,taxi_indicator,maximale_constructie_snelheid_bromsnorfiets,brandstoffen,extra_data,diesel,gasoline,electric,versit_klasse,count
NL,fa0e8ff5963262767b68d36aeb91ce09,90689d934083b5940f0f1179d2098eeb,fa0e8ff5963262767b68d36aeb91ce09,2019-01-01,,4100,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,ab5cabba031ad4dea7bcb7d4642fe825,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2015-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,afd601b819c5c9220ce26224b45d196b,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2015-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,2cfe9b188b4005230cfbedfb17292d2b,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2018-01-01,,1500,M,,TRUE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}, {""volgnr"": 2, ""brandstof"": ""Benzine""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2009-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,2cfe9b188b4005230cfbedfb17292d2b,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2015-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,bacb7c69ab711bc059789c1d5dc3e282,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2010-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,903bfc88cb7242c3a6dfa247a3b53e48,1
NL,250e8291dda446bb0d7c4e1236f9634d,5d886360a47320875d00c2f2ed0f9db9,b88add571a5d3e2abe129a6d5a49e67b,2018-01-01,,,L,1,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,f3883caa68d76cf8442b4d81366c1e5f,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2017-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Elektriciteit""}]",,,,,bacb7c69ab711bc059789c1d5dc3e282,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,9bd0e027d7e82b5a7b84bfc62033330e,a1b8a26b20325e6292794331abb32f43,2017-01-01,,11990,L,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,89a6a5383a1ccadcde08079d666c2883,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2015-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,df214c6d7573c6613c0b1efff307e902,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,1998-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""LPG""}]",,,,,aff2fd0046dc871a56c24c2e82cc72a9,1
NL,250e8291dda446bb0d7c4e1236f9634d,,b88add571a5d3e2abe129a6d5a49e67b,2013-01-01,,1500,L,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}]",,,,,f3883caa68d76cf8442b4d81366c1e5f,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2019-01-01,,1500,M,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""Elektriciteit""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
NL,fa0e8ff5963262767b68d36aeb91ce09,,fa0e8ff5963262767b68d36aeb91ce09,2018-01-01,,1500,M,,TRUE,,"[{""volgnr"": 1, ""brandstof"": ""Benzine""}, {""volgnr"": 2, ""brandstof"": ""Elektriciteit""}]",,,,,313080aa46414e2bd9573e0c095b3be4,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2009-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,b99684f7141b5c8f637bd68ddb246715,1
NL,a29ff6330fd63f49aebac7238b9dd8fd,,32a007c3cea025fd86785ac61678bf86,2013-01-01,,1500,N,,FALSE,,"[{""volgnr"": 1, ""brandstof"": ""Diesel""}]",,,,,5dd2bc55bdc83df93e3292213fe1e883,1
